assigned_resource,created_at,display_detail_zh,display_name_zh,eligible_resources,estimated_duration,failure_reason,finished_at,motion_constraints,nest_id,order_id,payload,predecessors,priority,ready_at,recovery_for,required_tool,required_zones,reservation_id,retry_count,retry_limit,route_phase,sequence_index,started_at,station_capabilities,station_id,status,status_zh,successors,task_id,task_type,tray_id,unit_id
CHANGEOVER_GANTRY,0.0,工件1,拆除旧梳齿,"[""CHANGEOVER_GANTRY""]",3.0,,24.100000000000207,{},NEST_A,ORDER_001,"{""module_name"": ""comb_insert_20mm""}","[""ORDER_001_U01_REMOVE_PRESS""]",5,21.100000000000165,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,49,21.100000000000165,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_001_U01_REMOVE_MOLD""]",ORDER_001_U01_REMOVE_COMB,REMOVE_OLD_COMB,tray_01,ORDER_001_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1,拆除旧梳齿,"[""CHANGEOVER_GANTRY""]",3.0,,562.7500000000359,{},NEST_A,ORDER_002,"{""module_name"": ""comb_insert_30mm""}","[""ORDER_002_U01_REMOVE_PRESS""]",3,559.7000000000387,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,66,559.7000000000387,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_002_U01_REMOVE_MOLD""]",ORDER_002_U01_REMOVE_COMB,REMOVE_OLD_COMB,tray_01,ORDER_002_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1,拆除旧托盘模具,"[""CHANGEOVER_GANTRY""]",3.0,,10.600000000000016,{},NEST_A,ORDER_003,"{""module_name"": ""comb_insert_15mm""}","[""ORDER_003_U01_REMOVE_COMB""]",10,7.599999999999981,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,31,7.599999999999981,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_003_U01_FETCH_MOLD""]",ORDER_003_U01_REMOVE_MOLD,REMOVE_OLD_MOLD,tray_01,ORDER_003_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1,拆除旧托盘模具,"[""CHANGEOVER_GANTRY""]",3.0,,27.10000000000025,{},NEST_A,ORDER_001,"{""module_name"": ""comb_insert_20mm""}","[""ORDER_001_U01_REMOVE_COMB""]",5,24.100000000000207,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,50,24.100000000000207,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_001_U01_FETCH_MOLD""]",ORDER_001_U01_REMOVE_MOLD,REMOVE_OLD_MOLD,tray_01,ORDER_001_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1,拆除旧托盘模具,"[""CHANGEOVER_GANTRY""]",3.0,,565.8000000000332,{},NEST_A,ORDER_002,"{""module_name"": ""comb_insert_30mm""}","[""ORDER_002_U01_REMOVE_COMB""]",3,562.7500000000359,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,67,562.7500000000359,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_002_U01_FETCH_MOLD""]",ORDER_002_U01_REMOVE_MOLD,REMOVE_OLD_MOLD,tray_01,ORDER_002_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1 · comb_insert_15mm,龙门取出目标模具,"[""CHANGEOVER_GANTRY""]",2.5,,13.100000000000051,{},NEST_A,ORDER_003,"{""module_name"": ""comb_insert_15mm""}","[""ORDER_003_U01_REMOVE_MOLD""]",10,10.600000000000016,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,32,10.600000000000016,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_003_U01_INSTALL_MOLD""]",ORDER_003_U01_FETCH_MOLD,FETCH_MOLD,tray_01,ORDER_003_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1 · comb_insert_20mm,龙门取出目标模具,"[""CHANGEOVER_GANTRY""]",2.5,,29.600000000000286,{},NEST_A,ORDER_001,"{""module_name"": ""comb_insert_20mm""}","[""ORDER_001_U01_REMOVE_MOLD""]",5,27.10000000000025,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,51,27.10000000000025,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_001_U01_INSTALL_MOLD""]",ORDER_001_U01_FETCH_MOLD,FETCH_MOLD,tray_01,ORDER_001_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1 · comb_insert_30mm,龙门取出目标模具,"[""CHANGEOVER_GANTRY""]",2.5,,568.3500000000308,{},NEST_A,ORDER_002,"{""module_name"": ""comb_insert_30mm""}","[""ORDER_002_U01_REMOVE_MOLD""]",3,565.8000000000332,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,68,565.8000000000332,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_002_U01_INSTALL_MOLD""]",ORDER_002_U01_FETCH_MOLD,FETCH_MOLD,tray_01,ORDER_002_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1 · comb_insert_15mm,安装低矮托盘模具,"[""CHANGEOVER_GANTRY""]",3.0,,16.100000000000094,{},NEST_A,ORDER_003,"{""module_name"": ""comb_insert_15mm""}","[""ORDER_003_U01_FETCH_MOLD""]",10,13.100000000000051,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,33,13.100000000000051,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_003_U01_VERIFY_MOLD""]",ORDER_003_U01_INSTALL_MOLD,INSTALL_MOLD,tray_01,ORDER_003_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1 · comb_insert_20mm,安装低矮托盘模具,"[""CHANGEOVER_GANTRY""]",3.0,,32.600000000000286,{},NEST_A,ORDER_001,"{""module_name"": ""comb_insert_20mm""}","[""ORDER_001_U01_FETCH_MOLD""]",5,29.600000000000286,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,52,29.600000000000286,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_001_U01_VERIFY_MOLD""]",ORDER_001_U01_INSTALL_MOLD,INSTALL_MOLD,tray_01,ORDER_001_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1 · comb_insert_30mm,安装低矮托盘模具,"[""CHANGEOVER_GANTRY""]",3.0,,571.4000000000281,{},NEST_A,ORDER_002,"{""module_name"": ""comb_insert_30mm""}","[""ORDER_002_U01_FETCH_MOLD""]",3,568.3500000000308,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,69,568.3500000000308,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_002_U01_VERIFY_MOLD""]",ORDER_002_U01_INSTALL_MOLD,INSTALL_MOLD,tray_01,ORDER_002_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1 · comb_insert_15mm,验证模具定位锁销,"[""CHANGEOVER_GANTRY""]",0.5,,16.6000000000001,{},NEST_A,ORDER_003,"{""module_name"": ""comb_insert_15mm""}","[""ORDER_003_U01_INSTALL_MOLD""]",10,16.100000000000094,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,34,16.100000000000094,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_003_U01_PICK_BASE""]",ORDER_003_U01_VERIFY_MOLD,VERIFY_MOLD,tray_01,ORDER_003_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1 · comb_insert_20mm,验证模具定位锁销,"[""CHANGEOVER_GANTRY""]",0.5,,33.150000000000254,{},NEST_A,ORDER_001,"{""module_name"": ""comb_insert_20mm""}","[""ORDER_001_U01_INSTALL_MOLD""]",5,32.600000000000286,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,53,32.600000000000286,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_001_U01_PICK_BASE""]",ORDER_001_U01_VERIFY_MOLD,VERIFY_MOLD,tray_01,ORDER_001_UNIT_01
CHANGEOVER_GANTRY,0.0,工件1 · comb_insert_30mm,验证模具定位锁销,"[""CHANGEOVER_GANTRY""]",0.5,,571.9500000000276,{},NEST_A,ORDER_002,"{""module_name"": ""comb_insert_30mm""}","[""ORDER_002_U01_INSTALL_MOLD""]",3,571.4000000000281,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_CHANGEOVER_GANTRY""]",,0,0,CHANGEOVER,70,571.4000000000281,[],TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_002_U01_PICK_BASE""]",ORDER_002_U01_VERIFY_MOLD,VERIFY_MOLD,tray_01,ORDER_002_UNIT_01
ARM1,0.0,工件1,吸取基板,"[""ARM1""]",12.0,,28.60000000000027,"{""minimum_clearance_m"": 0.04, ""sample_interval_m"": 0.01, ""time_sample_s"": 0.02, ""lock_joint_indices"": [6]}",NEST_A,ORDER_003,{},"[""ORDER_003_U01_VERIFY_MOLD"", ""ORDER_003_U01_INDEX_MATERIAL""]",10,16.6000000000001,,vacuum_gripper,"[""ZONE_TABLE1""]",RES-000001-MOTION-ORDER_003_U01_PICK_BASE,0,1,MOLD_READY,1,16.6000000000001,[],,SUCCEEDED,已完成,"[""ORDER_003_U01_PLACE_BASE""]",ORDER_003_U01_PICK_BASE,PICK_BASE_PLATE,tray_01,ORDER_003_UNIT_01
ARM1,0.0,工件1,吸取基板,"[""ARM1""]",12.0,,67.34999999999832,"{""minimum_clearance_m"": 0.04, ""sample_interval_m"": 0.01, ""time_sample_s"": 0.02, ""lock_joint_indices"": [6]}",NEST_A,ORDER_001,{},"[""ORDER_001_U01_VERIFY_MOLD"", ""ORDER_001_U01_INDEX_MATERIAL""]",5,33.150000000000254,,vacuum_gripper,"[""ZONE_TABLE1""]",RES-000005-MOTION-ORDER_001_U01_PICK_BASE,0,1,MOLD_READY,1,55.299999999998995,[],,SUCCEEDED,已完成,"[""ORDER_001_U01_PLACE_BASE""]",ORDER_001_U01_PICK_BASE,PICK_BASE_PLATE,tray_01,ORDER_001_UNIT_01
ARM1,0.0,工件1,吸取基板,"[""ARM1""]",12.0,,584.0000000000166,"{""minimum_clearance_m"": 0.04, ""sample_interval_m"": 0.01, ""time_sample_s"": 0.02, ""lock_joint_indices"": [6]}",NEST_A,ORDER_002,{},"[""ORDER_002_U01_VERIFY_MOLD"", ""ORDER_002_U01_INDEX_MATERIAL""]",3,571.9500000000276,,vacuum_gripper,"[""ZONE_TABLE1""]",RES-000056-MOTION-ORDER_002_U01_PICK_BASE,0,1,MOLD_READY,1,571.9500000000276,[],,SUCCEEDED,已完成,"[""ORDER_002_U01_PLACE_BASE""]",ORDER_002_U01_PICK_BASE,PICK_BASE_PLATE,tray_01,ORDER_002_UNIT_01
ARM1,0.0,工件1,搬运并放置基板,"[""ARM1""]",12.0,,45.19999999999957,"{""minimum_clearance_m"": 0.04, ""sample_interval_m"": 0.01, ""time_sample_s"": 0.02}",NEST_A,ORDER_003,{},"[""ORDER_003_U01_PICK_BASE""]",10,28.60000000000027,,vacuum_gripper,"[""ZONE_TABLE2_ASSEMBLY""]",RES-000002-MOTION-ORDER_003_U01_PLACE_BASE,0,1,MOLD_READY,2,33.150000000000254,"[""ASSEMBLY""]",TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_003_U01_PREPARE_FIN_TOOL"", ""ORDER_003_SWAP_01""]",ORDER_003_U01_PLACE_BASE,PLACE_BASE_PLATE,tray_01,ORDER_003_UNIT_01
ARM1,0.0,工件1,搬运并放置基板,"[""ARM1""]",12.0,,79.39999999999763,"{""minimum_clearance_m"": 0.04, ""sample_interval_m"": 0.01, ""time_sample_s"": 0.02}",NEST_A,ORDER_001,{},"[""ORDER_001_U01_PICK_BASE""]",5,67.34999999999832,,vacuum_gripper,"[""ZONE_TABLE2_ASSEMBLY""]",RES-000006-MOTION-ORDER_001_U01_PLACE_BASE,0,1,MOLD_READY,2,67.34999999999832,"[""ASSEMBLY""]",TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_001_U01_PREPARE_FIN_TOOL"", ""ORDER_001_SWAP_01""]",ORDER_001_U01_PLACE_BASE,PLACE_BASE_PLATE,tray_01,ORDER_001_UNIT_01
ARM1,0.0,工件1,搬运并放置基板,"[""ARM1""]",12.0,,596.0500000000056,"{""minimum_clearance_m"": 0.04, ""sample_interval_m"": 0.01, ""time_sample_s"": 0.02}",NEST_A,ORDER_002,{},"[""ORDER_002_U01_PICK_BASE""]",3,584.0000000000166,,vacuum_gripper,"[""ZONE_TABLE2_ASSEMBLY""]",RES-000057-MOTION-ORDER_002_U01_PLACE_BASE,0,1,MOLD_READY,2,584.0000000000166,"[""ASSEMBLY""]",TABLE2_ASSEMBLY,SUCCEEDED,已完成,"[""ORDER_002_U01_PREPARE_FIN_TOOL"", ""ORDER_002_SWAP_01""]",ORDER_002_U01_PLACE_BASE,PLACE_BASE_PLATE,tray_01,ORDER_002_UNIT_01
ARM1,0.0,工件1,切换翅片夹爪,"[""ARM1""]",8.0,,55.299999999998995,"{""minimum_clearance_m"": 0.04, ""sample_interval_m"": 0.01, ""time_sample_s"": 0.02}",NEST_A,ORDER_003,{},"[""ORDER_003_U01_PLACE_BASE""]",10,45.19999999999957,,parallel_gripper,"[""ZONE_TOOL_CHANGE""]",RES-000003-MOTION-ORDER_003_U01_PREPARE_FIN_TOOL,0,1,,3,47.24999999999945,[],,SUCCEEDED,已完成,"[""ORDER_003_U01_PICK_FIN_01"", ""ORDER_003_U01_PICK_FIN_02"", ""ORDER_003_U01_PICK_FIN_03"", ""ORDER_003_U01_PICK_FIN_04"", ""ORDER_003_U01_PICK_FIN_05"", ""ORDER_003_U01_PICK_FIN_06"", ""ORDER_003_U01_PICK_FIN_07""]",ORDER_003_U01_PREPARE_FIN_TOOL,PREPARE_FIN_TOOL,tray_01,ORDER_003_UNIT_01
TURNTABLE,0.0,当前工件 · 双巢位 · 180度同步换位,双巢位转台换位,"[""TURNTABLE""]",2.0,,47.24999999999945,"{""s_curve"": true, ""rotation_deg"": 180.0, ""settle_s"": 0.3}",,ORDER_003,"{""assembly_tray"": ""tray_01"", ""process_tray"": null}","[""ORDER_003_U01_PLACE_BASE""]",10,45.19999999999957,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_TABLE2_PROCESS"", ""ZONE_TURNTABLE_SWEEP""]",,0,0,,36,45.19999999999957,"[""SYNCHRONOUS_NEST_SWAP""]",,SUCCEEDED,已完成,"[""ORDER_003_SWAP_01_VERIFY""]",ORDER_003_SWAP_01,ROTATE_TABLE2,,ORDER_003_TURNTABLE
ARM1,0.0,工件1,切换翅片夹爪,"[""ARM1""]",8.0,,87.44999999999717,"{""minimum_clearance_m"": 0.04, ""sample_interval_m"": 0.01, ""time_sample_s"": 0.02}",NEST_A,ORDER_001,{},"[""ORDER_001_U01_PLACE_BASE""]",5,79.39999999999763,,parallel_gripper,"[""ZONE_TOOL_CHANGE""]",RES-000008-MOTION-ORDER_001_U01_PREPARE_FIN_TOOL,0,1,,3,79.39999999999763,[],,SUCCEEDED,已完成,"[""ORDER_001_U01_PICK_FIN_01"", ""ORDER_001_U01_PICK_FIN_02"", ""ORDER_001_U01_PICK_FIN_03"", ""ORDER_001_U01_PICK_FIN_04"", ""ORDER_001_U01_PICK_FIN_05""]",ORDER_001_U01_PREPARE_FIN_TOOL,PREPARE_FIN_TOOL,tray_01,ORDER_001_UNIT_01
TURNTABLE,0.0,当前工件 · 双巢位 · 180度同步换位,双巢位转台换位,"[""TURNTABLE""]",2.0,,100.09999999999646,"{""s_curve"": true, ""rotation_deg"": 180.0, ""settle_s"": 0.3}",,ORDER_001,"{""assembly_tray"": ""tray_01"", ""process_tray"": null}","[""ORDER_001_U01_PLACE_BASE""]",5,79.39999999999763,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_TABLE2_PROCESS"", ""ZONE_TURNTABLE_SWEEP""]",,0,0,,63,98.04999999999657,"[""SYNCHRONOUS_NEST_SWAP""]",,SUCCEEDED,已完成,"[""ORDER_001_SWAP_01_VERIFY""]",ORDER_001_SWAP_01,ROTATE_TABLE2,,ORDER_001_TURNTABLE
ARM1,0.0,工件1,切换翅片夹爪,"[""ARM1""]",8.0,,606.1499999999965,"{""minimum_clearance_m"": 0.04, ""sample_interval_m"": 0.01, ""time_sample_s"": 0.02}",NEST_A,ORDER_002,{},"[""ORDER_002_U01_PLACE_BASE""]",3,596.0500000000056,,parallel_gripper,"[""ZONE_TOOL_CHANGE""]",RES-000058-MOTION-ORDER_002_U01_PREPARE_FIN_TOOL,0,1,,3,598.1000000000038,[],,SUCCEEDED,已完成,"[""ORDER_002_U01_PICK_FIN_01"", ""ORDER_002_U01_PICK_FIN_02"", ""ORDER_002_U01_PICK_FIN_03"", ""ORDER_002_U01_PICK_FIN_04""]",ORDER_002_U01_PREPARE_FIN_TOOL,PREPARE_FIN_TOOL,tray_01,ORDER_002_UNIT_01
TURNTABLE,0.0,当前工件 · 双巢位 · 180度同步换位,双巢位转台换位,"[""TURNTABLE""]",2.0,,598.1000000000038,"{""s_curve"": true, ""rotation_deg"": 180.0, ""settle_s"": 0.3}",,ORDER_002,"{""assembly_tray"": ""tray_01"", ""process_tray"": null}","[""ORDER_002_U01_PLACE_BASE""]",3,596.0500000000056,,,"[""ZONE_TABLE2_ASSEMBLY"", ""ZONE_TABLE2_PROCESS"", ""ZONE_TURNTABLE_SWEEP""]",,0,0,,88,596.0500000000056,"[""SYNCHRONOUS_NEST_SWAP""]",,SUCCEEDED,已完成,"[""ORDER_002_SWAP_01_VERIFY""]",ORDER_002_SWAP_01,ROTATE_TABLE2,,ORDER_002_TURNTABLE
TURNTABLE,0.0,当前工件 · 双巢位 · 180度同步换位,确认转台停稳对位,"[""TURNTABLE""]",0.3,,47.59999999999943,{},,ORDER_003,{},"[""ORDER_003_SWAP_01""]",10,47.24999999999945,,,"[""ZONE_TURNTABLE_SWEEP""]",,0,0,,37,47.24999999999945,"[""SYNCHRONOUS_NEST_SWAP""]",,SUCCEEDED,已完成,"[""ORDER_003_U01_DISPENSE""]",ORDER_003_SWAP_01_VERIFY,VERIFY_TURNTABLE,,ORDER_003_TURNTABLE
TURNTABLE,0.0,当前工件 · 双巢位 · 180度同步换位,确认转台停稳对位,"[""TURNTABLE""]",0.3,,100.44999999999644,{},,ORDER_001,{},"[""ORDER_001_SWAP_01""]",5,100.09999999999646,,,"[""ZONE_TURNTABLE_SWEEP""]",,0,0,,64,100.09999999999646,"[""SYNCHRONOUS_NEST_SWAP""]",,SUCCEEDED,已完成,"[""ORDER_001_U01_DISPENSE"", ""ORDER_001_U02_INDEX_TRAY"", ""ORDER_001_U02_INDEX_MATERIAL""]",ORDER_001_SWAP_01_VERIFY,VERIFY_TURNTABLE,,ORDER_001_TURNTABLE
TURNTABLE,0.0,当前工件 · 双巢位 · 180度同步换位,确认转台停稳对位,"[""TURNTABLE""]",0.3,,598.4500000000035,{},,ORDER_002,{},"[""ORDER_002_SWAP_01""]",3,598.1000000000038,,,"[""ZONE_TURNTABLE_SWEEP""]",,0,0,,89,598.1000000000038,"[""SYNCHRONOUS_NEST_SWAP""]",,SUCCEEDED,已完成,"[""ORDER_002_U01_DISPENSE"", ""ORDER_002_U02_INDEX_TRAY"", ""ORDER_002_U02_INDEX_MATERIAL""]",ORDER_002_SWAP_01_VERIFY,VERIFY_TURNTABLE,,ORDER_002_TURNTABLE
ARM2,0.0,工件1 · 共14条钎料路径,涂覆钎料,"[""ARM2""]",24.0,,71.64999999999807,"{""minimum_clearance_m"": 0.04, ""sample_interval_m"": 0.01, ""time_sample_s"": 0.02, ""tool_z_vertical_tolerance_deg"": 0.1}",NEST_A,ORDER_003,"{""path_ids"": [""slot_01_left_brazing_path"", ""slot_01_right_brazing_path"", ""slot_02_left_brazing_path"", ""slot_02_right_brazing_path"", ""slot_03_left_brazing_path"", ""slot_03_right_brazing_path"", ""slot_04_left_brazing_path"", ""slot_04_right_brazing_path"", ""slot_05_left_brazing_path"", ""slot_05_right_brazing_path"", ""slot_06_left_brazing_path"", ""slot_06_right_brazing_path"", ""slot_07_left_brazing_path"", ""slot_07_right_brazing_path""], ""material_speed_m_s"": 0.09, ""nozzle_tip_height_m"": 0.0015, ""nozzle_spacing_m"": 0.0044}","[""ORDER_003_SWAP_01_VERIFY""]",10,47.59999999999943,,brazing_dispenser,"[""ZONE_TABLE2_PROCESS""]",RES-000004-MOTION-ORDER_003_U01_DISPENSE,0,2,BASE_READY,4,47.59999999999943,"[""BRAZING"", ""MATERIAL_INSPECTION""]",TABLE2_PROCESS,SUCCEEDED,已完成,"[""ORDER_003_U01_INSPECT_BRAZING""]",ORDER_003_U01_DISPENSE,DISPENSE_BRAZING,tray_01,ORDER_003_UNIT_01
